H_wage,Female,Black,Edu,Exp,Married
3.35,1,0,12,33,0
4,1,0,12,25,1
6.0811,1,0,12,24,1
8.5,0,0,9,26,1
12.5,0,0,12,27,1
8.5714,0,0,12,32,0
7,1,0,12,35,1
10,0,0,10,29,1
20.36,0,0,14,21,1
3.6,1,0,10,18,0
5.25,1,0,12,19,1
16,0,0,16,23,1
12.7083,1,0,16,9,1
4.4,1,0,12,25,1
22.5,0,0,17,7,1
4,1,0,12,10,0
6.5,0,0,12,17,0
22.65,0,0,17,20,1
15,0,0,16,34,1
26.67,0,0,12,8,1
6.5,1,0,12,13,0
27.5,0,0,18,23,1
26,0,0,13,25,1
4.5,1,0,12,16,1
5.15,1,0,12,34,0
5,0,0,12,22,0
8,0,0,13,22,1
9.5,0,0,12,33,1
6,0,0,14,18,0
12.7273,0,0,16,11,1
22.7778,1,0,18,20,1
4.06,1,0,12,8,1
6.25,1,0,13,37,1
7.1,0,0,11,25,0
6.5,0,0,12,20,1
9.8958,1,0,12,17,0
4.2857,1,0,6,34,0
8,1,1,10,31,0
30,0,0,18,35,0
25,0,0,18,32,1
4.5,1,0,12,39,0
9.6667,1,0,18,21,1
9.25,0,0,12,21,1
3.9,0,0,15,5,0
7,0,0,11,11,1
10.48,1,0,12,14,1
13.46,0,0,18,6,0
14,0,0,16,9,1
2.7,1,0,8,19,0
6.35,0,0,10,22,1
7.5,1,0,12,28,1
13.7,0,0,12,20,1
8,1,0,14,23,0
12.5,0,0,16,24,1
8,1,0,12,8,0
24.3,0,0,12,35,1
42,0,0,18,18,1
9,1,0,12,15,0
17.5,1,0,16,16,1
9,1,0,12,23,1
14.2857,1,0,12,10,1
5,0,0,12,19,0
6.5,1,0,12,37,1
20,0,0,18,15,1
10.25,0,0,14,11,1
11,1,0,16,6,1
12.5,1,0,16,12,1
12.5,1,0,18,3,1
9,0,0,4,34,1
8.14,1,0,12,24,1
8.76,1,0,12,41,1
11.5,1,0,13,33,1
8,0,0,14,9,1
7.9167,0,0,12,20,0
2.8571,0,0,12,26,0
4.25,1,0,13,15,1
4,0,0,12,17,0
14.3,1,0,14,25,1
10.75,1,0,12,30,1
18.5,0,0,18,29,0
5,0,0,12,17,1
14.6667,0,0,12,37,1
7.5,1,1,16,10,1
5.63,1,0,10,20,1
9,1,0,13,10,1
17.0889,0,0,14,13,1
12,1,0,16,15,1
6.75,1,0,14,24,1
17,1,0,13,20,1
21.25,0,0,12,14,1
9.45,1,0,12,22,0
6.9231,0,0,16,36,1
13,0,0,12,9,0
10.375,1,0,12,33,1
27.5,0,0,18,21,1
12.5,0,0,14,20,1
11.6,1,0,14,15,1
20,0,0,12,30,1
13,0,0,11,10,0
25,1,0,16,20,1
5,1,0,9,13,0
7.3889,1,0,12,12,1
4,1,0,12,30,1
30,1,0,16,14,1
5.38,0,0,11,25,1
13,0,0,16,23,1
